#OTU ID,D. longicatena,B. caecicola-OTU51,R. lactaris-OTU0,B. caecicola-OTU4,F. magna,C. comes,B. caecicola-OTU86,P. ivorii,F. prausnitzii-OTU80,A. caccae,A. ruminis-OTU75,Ezakiella-OTU94,H. effluvii-OTU77,B. caecicola-OTU70,P. olsenii,E. oxidoreducens,P. chartae-OTU69,B. barnesiae,F. prausnitzii-OTU8,D. formicigenerans,R. gnavus,B. caecicola-OTU10,A. octavius,B. producta-OTU81,P. buccalis,Escherichia-Shigella-OTU88,B. producta-OTU32,B. hydrogenotrophica,E. peruensis,D. pneumosintes,F. saccharivorans,B. caecicola-OTU16,P. loveana
D. longicatena,1.0,0.3333333333333333,0.33333333333333337,0.2222222222222222,0.11111111111111116,0.0,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.11111111111111116,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.11111111111111116,0.33333333333333337,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.11111111111111116,0.0,0.4444444444444444,0.2222222222222222,0.1111111111111111
B. caecicola-OTU51,0.3333333333333333,1.0,0.11111111111111116,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.11111111111111116,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.11111111111111116,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.33333333333333337,0.1111111111111111,0.0,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.0,0.33333333333333337,0.4444444444444444,0.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.11111111111111116,0.11111111111111116,0.1111111111111111,0.3333333333333333,0.0
R. lactaris-OTU0,0.4444444444444444,0.2222222222222222,1.0,0.1111111111111111,0.4444444444444444,0.33333333333333337,0.4444444444444444,0.33333333333333337,0.11111111111111116,0.11111111111111116,0.0,0.4444444444444444,0.0,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.33333333333333337,0.1111111111111111,0.0,0.4444444444444444,0.0,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.0,0.2222222222222222
B. caecicola-OTU4,0.2222222222222222,0.2222222222222222,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.4444444444444444,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.11111111111111116,0.0,0.0,0.4444444444444444,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.0,0.0,0.33333333333333337,0.1111111111111111,0.0,0.2222222222222222
F. magna,0.11111111111111116,0.4444444444444444,0.4444444444444444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.2222222222222222,0.11111111111111116,0.0,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.0,0.0,0.0,0.0,0.0,0.11111111111111116,0.0,0.0,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.0,0.11111111111111116,0.0,0.3333333333333333
C. comes,0.0,0.2222222222222222,0.11111111111111116,0.2222222222222222,0.0,1.0,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.0,0.1111111111111111,0.0,0.1111111111111111,0.4444444444444444,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.11111111111111116,0.0,0.3333333333333333,0.4444444444444444,0.4444444444444444
B. caecicola-OTU86,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.0,0.0,0.4444444444444444,1.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.11111111111111116,0.3333333333333333,0.0,0.1111111111111111,0.33333333333333337,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.11111111111111116
P. ivorii,0.11111111111111116,0.2222222222222222,0.33333333333333337,0.0,0.0,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.33333333333333337,0.0,0.1111111111111111,0.0,0.0,0.11111111111111116,0.0,0.1111111111111111,0.11111111111111116,0.11111111111111116,0.2222222222222222,0.1111111111111111,0.33333333333333337,0.0,0.0
F. prausnitzii-OTU80,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.11111111111111116
A. caccae,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,1.0,0.0,0.0,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.3333333333333333,0.2222222222222222,0.0,0.0,0.33333333333333337,0.2222222222222222,0.0,0.11111111111111116,0.0,0.1111111111111111,0.4444444444444444,0.0
A. ruminis-OTU75,0.2222222222222222,0.2222222222222222,0.33333333333333337,0.3333333333333333,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,1.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.3333333333333333,0.0,0.2222222222222222,0.0,0.2222222222222222,0.4444444444444444,0.11111111111111116,0.0,0.33333333333333337,0.0,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0
Ezakiella-OTU94,0.2222222222222222,0.2222222222222222,0.33333333333333337,0.0,0.1111111111111111,0.11111111111111116,0.11111111111111116,0.1111111111111111,0.0,0.2222222222222222,0.11111111111111116,1.0,0.4444444444444444,0.33333333333333337,0.0,0.11111111111111116,0.2222222222222222,0.0,0.4444444444444444,0.0,0.4444444444444444,0.0,0.4444444444444444,0.0,0.3333333333333333,0.4444444444444444,0.0,0.11111111111111116,0.0,0.0,0.11111111111111116,0.4444444444444444,0.0
H. effluvii-OTU77,0.0,0.0,0.0,0.1111111111111111,0.11111111111111116,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,1.0,0.4444444444444444,0.11111111111111116,0.3333333333333333,0.0,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.33333333333333337,0.33333333333333337,0.4444444444444444,0.11111111111111116,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.11111111111111116
