id	theta	r	color	phy	bg_color
s__Leptospira_sp_E8	0	0	#C0E481	p__Spirochaetes	#D5EDAB
s__Leptospira_licerasiae	0.019883497807530338	20	#C0E481	p__Spirochaetes	#D5EDAB
s__Treponema_vincentii	1.067081049004128	20	#C0E481	p__Spirochaetes	#D5EDAB
s__Treponema_succinifaciens	2.1142786002007257	20	#C0E481	p__Spirochaetes	#D5EDAB
s__Treponema_sp_OMZ_838	3.1614761513973235	20	#C0E481	p__Spirochaetes	#D5EDAB
s__Treponema_socranskii	4.208673702593921	20	#C0E481	p__Spirochaetes	#D5EDAB
s__Treponema_saccharophilum	5.255871253790518	20	#C0E481	p__Spirochaetes	#D5EDAB
s__Treponema_putidum	0.039766995615060675	40	#C0E481	p__Spirochaetes	#D5EDAB
s__Treponema_porcinum	0.5633657712133595	40	#C0E481	p__Spirochaetes	#D5EDAB
s__Treponema_medium	1.0869645468116582	40	#C0E481	p__Spirochaetes	#D5EDAB
s__Treponema_maltophilum	1.6105633224099571	40	#C0E481	p__Spirochaetes	#D5EDAB
s__Treponema_lecithinolyticum	2.134162098008256	40	#C0E481	p__Spirochaetes	#D5EDAB
s__Treponema_denticola	2.6577608736065548	40	#C0E481	p__Spirochaetes	#D5EDAB
s__Treponema_berlinense	3.181359649204854	40	#C0E481	p__Spirochaetes	#D5EDAB
s__Brachyspira_sp_CAG_700	3.7049584248031526	40	#C0E481	p__Spirochaetes	#D5EDAB
s__Brachyspira_pilosicoli	4.228557200401451	40	#C0E481	p__Spirochaetes	#D5EDAB
s__Methanomassiliicoccales_archaeon_RumEn_M1	4.7521559759997505	40	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Candidatus_Methanomassiliicoccus_intestinalis	5.275754751598049	40	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Candidatus_Methanomethylophilus_sp_1R26	5.799353527196348	40	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Pyrococcus_yayanosii	0.05965049342259102	60	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Methanosphaera_stadtmanae	0.40871634382145694	60	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Methanosphaera_sp_SHI1033	0.7577821942203228	60	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Methanosphaera_sp_rholeuAM74	1.1068480446191886	60	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Methanosphaera_cuniculi	1.4559138950180546	60	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Methanobrevibacter_woesei	1.8049797454169205	60	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Methanobrevibacter_thaueri	2.1540455958157865	60	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Methanobrevibacter_sp_AbM4	2.5031114462146524	60	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Methanobrevibacter_sp_87_7	2.8521772966135184	60	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Methanobrevibacter_smithii	3.2012431470123843	60	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Methanobrevibacter_ruminantium	3.5503089974112503	60	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Methanobrevibacter_oralis	3.8993748478101162	60	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Methanobrevibacter_arboriphilus	4.248440698208982	60	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Methanobacterium_sp_MB1	4.597506548607848	60	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Methanobacterium_formicicum	4.946572399006714	60	#CC99DB	p__Euryarchaeota	#EBA8FF
s__Akkermansia_muciniphila	5.29563824940558	60	#AAAAAA	other	#B3B3B3
s__Akkermansia_glycaniphila	5.6447040998044455	60	#AAAAAA	other	#B3B3B3
s__Ureaplasma_urealyticum	5.993769950203311	60	#AAAAAA	other	#B3B3B3
s__Ureaplasma_parvum	0.07953399123012135	80	#AAAAAA	other	#B3B3B3
s__Mycoplasma_sp_HU2014	0.3308614035173048	80	#AAAAAA	other	#B3B3B3
s__Mycoplasma_hyorhinis	0.5821888158044883	80	#AAAAAA	other	#B3B3B3
s__Mycoplasma_hominis	0.8335162280916718	80	#AAAAAA	other	#B3B3B3
s__Mycoplasma_cynos	1.0848436403788553	80	#AAAAAA	other	#B3B3B3
s__Mycoplasma_bovis	1.3361710526660386	80	#AAAAAA	other	#B3B3B3
s__Spiroplasma_eriocheiris	1.5874984649532222	80	#AAAAAA	other	#B3B3B3
s__Acholeplasma_oculi	1.8388258772404058	80	#AAAAAA	other	#B3B3B3
s__Synergistes_jonesii	2.090153289527589	80	#AAAAAA	other	#B3B3B3
s__Pyramidobacter_sp_C12_8	2.3414807018147723	80	#AAAAAA	other	#B3B3B3
s__Pyramidobacter_piscolens	2.5928081141019557	80	#AAAAAA	other	#B3B3B3
s__Jonquetella_anthropi	2.8441355263891395	80	#AAAAAA	other	#B3B3B3
s__Fretibacterium_fastidiosum	3.095462938676323	80	#AAAAAA	other	#B3B3B3
s__Cloacibacillus_sp_An23	3.346790350963506	80	#AAAAAA	other	#B3B3B3
s__Cloacibacillus_porcorum	3.59811776325069	80	#AAAAAA	other	#B3B3B3
s__Acetomicrobium_flavidum	3.8494451755378734	80	#AAAAAA	other	#B3B3B3
s__Paludisphaera_borealis	4.100772587825057	80	#AAAAAA	other	#B3B3B3
s__Gemmata_obscuriglobus	4.352100000112241	80	#AAAAAA	other	#B3B3B3
s__Fimbriiglobus_ruber	4.603427412399424	80	#AAAAAA	other	#B3B3B3
s__Victivallis_vadensis	4.854754824686608	80	#AAAAAA	other	#B3B3B3
s__Sneathia_amnii	5.106082236973791	80	#AAAAAA	other	#B3B3B3
s__Leptotrichia_wadei	5.357409649260974	80	#AAAAAA	other	#B3B3B3
s__Leptotrichia_sp_oral_taxon_879	5.608737061548158	80	#AAAAAA	other	#B3B3B3
s__Leptotrichia_sp_oral_taxon_847	5.860064473835341	80	#AAAAAA	other	#B3B3B3
s__Leptotrichia_sp_oral_taxon_498	6.111391886122525	80	#AAAAAA	other	#B3B3B3
s__Leptotrichia_sp_oral_taxon_225	0.09941748903765169	100	#AAAAAA	other	#B3B3B3
s__Leptotrichia_sp_oral_taxon_215	0.30210088604344476	100	#AAAAAA	other	#B3B3B3
s__Leptotrichia_sp_oral_taxon_212	0.504784283049238	100	#AAAAAA	other	#B3B3B3
s__Leptotrichia_hofstadii	0.707467680055031	100	#AAAAAA	other	#B3B3B3
s__Leptotrichia_goodfellowii	0.9101510770608241	100	#AAAAAA	other	#B3B3B3
s__Leptotrichia_buccalis	1.1128344740666174	100	#AAAAAA	other	#B3B3B3
s__Fusobacterium_varium	1.3155178710724105	100	#AAAAAA	other	#B3B3B3
s__Fusobacterium_ulcerans	1.5182012680782035	100	#AAAAAA	other	#B3B3B3
s__Fusobacterium_sp_oral_taxon_370	1.7208846650839966	100	#AAAAAA	other	#B3B3B3
s__Fusobacterium_sp_CAG_439	1.9235680620897897	100	#AAAAAA	other	#B3B3B3
s__Fusobacterium_periodonticum	2.1262514590955828	100	#AAAAAA	other	#B3B3B3
s__Fusobacterium_nucleatum	2.328934856101376	100	#AAAAAA	other	#B3B3B3
s__Fusobacterium_necrophorum	2.531618253107169	100	#AAAAAA	other	#B3B3B3
s__Fusobacterium_necrogenes	2.734301650112962	100	#AAAAAA	other	#B3B3B3
s__Fusobacterium_naviforme	2.936985047118755	100	#AAAAAA	other	#B3B3B3
s__Fusobacterium_mortiferum	3.139668444124548	100	#AAAAAA	other	#B3B3B3
s__Fusobacterium_hwasookii	3.3423518411303412	100	#AAAAAA	other	#B3B3B3
s__Fusobacterium_gonidiaformans	3.5450352381361343	100	#AAAAAA	other	#B3B3B3
s__Fusobacterium_equinum	3.7477186351419274	100	#AAAAAA	other	#B3B3B3
s__Cetobacterium_somerae	3.9504020321477205	100	#AAAAAA	other	#B3B3B3
s__Elusimicrobium_sp_An273	4.153085429153514	100	#AAAAAA	other	#B3B3B3
