id	theta	r	color	phy	bg_color
s__Tissierellia_bacterium_KA00581	0	0	#85D696	p__Firmicutes	#D1F0D8
s__Bacteroides_coagulans	0.019883497807530338	20	#85D696	p__Firmicutes	#D1F0D8
s__Sporanaerobacter_sp_PP17_6a	0.039766995615060675	40	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_sp_oral_taxon_386	0.05965049342259102	60	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_sp_HMSC062D09	0.07953399123012135	80	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_sp_DNF00840	0.09941748903765169	100	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_sp_BV3C26	0.11930098684518203	120	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_lacrimalis	0.13918448465271235	140	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_harei	0.1590679824602427	160	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_grossensis	0.17895148026777305	180	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_duerdenii	0.19883497807530337	200	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_coxii	0.21871847588283372	220	#85D696	p__Firmicutes	#D1F0D8
s__Peptoniphilus_asaccharolyticus	0.23860197369036407	240	#85D696	p__Firmicutes	#D1F0D8
s__Parvimonas_sp_oral_taxon_393	0.2584854714978944	260	#85D696	p__Firmicutes	#D1F0D8
s__Parvimonas_sp_oral_taxon_110	0.2783689693054247	280	#85D696	p__Firmicutes	#D1F0D8
s__Parvimonas_sp_KA00067	0.28473168860383447	160	#85D696	p__Firmicutes	#D1F0D8
s__Parvimonas_micra	0.2853050731917725	140	#85D696	p__Firmicutes	#D1F0D8
s__Helcococcus_kunzii	0.2891168059581438	120	#85D696	p__Firmicutes	#D1F0D8
s__Finegoldia_magna	0.29115121789598	180	#85D696	p__Firmicutes	#D1F0D8
s__Anaerococcus_vaginalis	0.29825246711295506	300	#85D696	p__Firmicutes	#D1F0D8
s__Anaerococcus_tetradius	0.3001766765781999	200	#85D696	p__Firmicutes	#D1F0D8
s__Anaerococcus_prevotii	0.30210088604344476	100	#85D696	p__Firmicutes	#D1F0D8
s__Anaerococcus_octavius	0.3097791325086248	220	#85D696	p__Firmicutes	#D1F0D8
s__Anaerococcus_nagyae	0.3181359649204854	320	#85D696	p__Firmicutes	#D1F0D8
s__Anaerococcus_lactolyticus	0.3223777777860919	240	#85D696	p__Firmicutes	#D1F0D8
s__Anaerococcus_hydrogenalis	0.3308614035173048	80	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_tobetsuensis	0.3360556604754202	260	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_sp_T11011_6	0.33801946272801575	340	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_sp_CAG_933	0.35058949007760387	280	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_seminalis	0.3579029605355461	360	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_rogosae	0.3650948639978443	300	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_rodentium	0.3777864583430764	380	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_parvula	0.3809678179922813	320	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_montpellierensis	0.39729479581461563	340	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_infantium	0.39766995615060674	400	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_dispar	0.4008397891344159	220	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_denticariosi	0.40151837508109645	200	#85D696	p__Firmicutes	#D1F0D8
s__Veillonella_atypica	0.40335095552418687	180	#85D696	p__Firmicutes	#D1F0D8
s__Veillonellaceae_bacterium_DNF00626	0.4061535818818197	240	#85D696	p__Firmicutes	#D1F0D8
s__Negativicoccus_succinicivorans	0.40871634382145694	60	#85D696	p__Firmicutes	#D1F0D8
s__Megasphaera_stantonii	0.41039539474742615	160	#85D696	p__Firmicutes	#D1F0D8
s__Megasphaera_sp_MJR8396C	0.41350637033359555	360	#85D696	p__Firmicutes	#D1F0D8
s__Megasphaera_sp_DISK_18	0.4136258494529459	260	#85D696	p__Firmicutes	#D1F0D8
s__Megasphaera_sp_BV3C16_1	0.4175534539581371	420	#85D696	p__Firmicutes	#D1F0D8
s__Megasphaera_micronuciformis	0.422810010849783	280	#85D696	p__Firmicutes	#D1F0D8
s__Megasphaera_hexanoica	0.4305863348739973	380	#85D696	p__Firmicutes	#D1F0D8
s__Megasphaera_elsdenii	0.43142566173083263	140	#85D696	p__Firmicutes	#D1F0D8
